language,source_id,toxic,detox,afrihate_label,judge_decision,human_decision,human_comments,edited_detox
Yorùbá,train_yoruba_01020,ǹ jẹ́ tí gbọ́ sọ pé ẹṣin inú ìwé lásánlàsàn ni yín ṣé lòótọ́ ni òkóbó ni yín,Njẹ́ mo ti gbọ́ pé ẹṣin inú ìwé lásánlàsàn ni yín; ṣe òótọ́ ni pé ẹ ní àìlera ọkùnrin?,Abuse,accepted,,,
Yorùbá,train_yoruba_01824,"""ẹranko ẹhànnà ní àwọn ẹlòmíì.""",ìwa ẹhànnà ní àwọn ẹlòmíì.,Abuse,accepted,,,
Yorùbá,test_yoruba_00472,"""ólófó lò binù òlògò""",Ẹni tí ó pàdánù ló bínú ológo.,Abuse,accepted,,,
Yorùbá,train_yoruba_01882,"""oloriburuku ni bobo e sha... bobo e ti ya werey ooh 😀😀😀😀 URL",Iwa bobo e ko dara sha... bobo e ti n huwa ajeji ooh 😀😀😀😀 URL,Abuse,accepted,,,
Yorùbá,test_yoruba_00682,"""@USER o n dun e ni wa to gbon ode oshi. ko ni fa fun àwọn to ni e,. o de ni jere iwo gann o no gbadun omo irankiran. afofun gbemu oponu""",@USER O n dun e pe awon to gbon wa. Kii fa fun awon to nifee re. Iwo funra re kii jere. Ma se gbadun iwa irankiran.,Abuse,accepted,,,
Yorùbá,train_yoruba_03253,"""awon oloshi lo po ju lori app yii men....👌""",awon to nilo lati dara si lo po ju lori app yii men....👌,Abuse,accepted,,,
Yorùbá,train_yoruba_00366,"""@USER olódò ràbàtà""",@USER O nílò láti kọ́ ẹ̀kọ́ síi.,Abuse,accepted,,,
Yorùbá,dev_yoruba_00516,"""@USER ori eleyi to buru bayi o""",ero eleyi nilo itunse die bayi o,Abuse,accepted,,,
Yorùbá,test_yoruba_00023,"""oniranu omo lo poju ninu yin 😎😎😎😎""",iwa buburu lo poju ninu yin 😎😎😎😎,Abuse,accepted,,,
Yorùbá,train_yoruba_02129,"""@USER wa se orire fun reply yi,oloriburuku gidi ni.""","@USER wa se orire fun reply yi, iwa re nilo itunse.",Abuse,accepted,,,
Yorùbá,train_yoruba_01417,"""@USER abi now. awon eranko jati jati""",@USER abi now. awon eniyan naa nilo lati dara sii,Abuse,accepted,,,
Yorùbá,train_yoruba_01292,"""@USER in a normal country @USER oyeki wonti fi eyin e ti agba. ole oloriburuku!""",@USER in a normal country @USER o ye ki won ti se igbese lodi si e. Ise re dabi iwa ole.,Abuse,accepted,,,
Yorùbá,train_yoruba_01912,"Omo jatijati, rederede",Ìwa rẹ̀ nílò ìtúnṣe díẹ̀.,Abuse,accepted,,,
Yorùbá,train_yoruba_00809,wèrè ni rt òǹpìtàn ọ̀jọ̀gbọ́n ifácitì ní pé ènìyàn dúdú ò ní ìtàn kankan kí òyìnbó,Kò tọ́ ni rt òǹpìtàn ọ̀jọ̀gbọ́n ifácitì ní pé ènìyàn dúdú ò ní ìtàn kankan kí òyìnbó,Hate,accepted,,,
Yorùbá,dev_yoruba_00040,kùkùté igi àgbọn olódu igi yìí nípọn tó bẹ́ẹ̀ tí àwọn baba wa fi ń kan òrúlé,REVIEW_REQUIRED,Abuse,needs_edit,,,
Yorùbá,train_yoruba_00045,ẹnìkan ní irú ìyẹn ò lè ṣiṣẹ́ lékòó wèrè pọ̀ lékòó àwa tá a gbádùn ibẹ̀ ò ju díẹ̀,ẹnìkan ní irú ìyẹn ò lè ṣiṣẹ́ lékòó ìṣòro pọ̀ lékòó àwa tá a gbádùn ibẹ̀ ò ju díẹ̀,Abuse,accepted,,,
Yorùbá,train_yoruba_00963,"""werey po gan ni aiye yi sha URL",Ọ̀pọ̀ ènìyàn tí ń hùwà àìtọ́ pò gan ní ayé yìí sha,Abuse,accepted,,,
Yorùbá,test_yoruba_00155,"""@USER okan oni bale.. oloriburuku ashewo.""",@USER jẹ́ kí ọkàn rẹ balẹ.. ìwà rẹ nílò ìtúnṣe.,Abuse,accepted,,,
Yorùbá,train_yoruba_02910,"""@USER bàbà ń laku bàbà ẹ ní werey, oloriburuku ọmọ àbí pabẹ, ayé ẹ dẹ má bá jẹ ní, if ẹ sure for you come to my dm""","@USER ìwa ẹ nílò ìtúnṣe, bí ẹ bá fẹ́, ẹ wá sí DM",Abuse,accepted,,,
Yorùbá,dev_yoruba_00634,"""@USER olori ibu omo, omo ale jatijati.""",@USER Ìwà rẹ̀ nílò ìtúnṣe.,Abuse,accepted,,,
Yorùbá,dev_yoruba_00071,bẹ́ ẹ bá wá rí ọ̀kọlà ẹ má mà mà bu ẹ má pè é lójú ẹlẹ́gba ẹ má fi rẹ́ẹ̀rín àṣà ilẹ̀ẹ wa ìgbaanì ló ńgbé lárugẹ,"bẹ́ ẹ bá wá rí ẹni tí ó ní ìlà, ẹ má má bu u, ẹ má pè é lójú ẹlẹgbẹ́, ẹ má fi í rẹ́rìn; àṣà ilẹ̀ wa ìgbànì ló ń gbé lárugẹ",Abuse,accepted,,,
isiXhosa,train_isixhosa_00723,lamasimba osendelwa incanca kwi dm isuka phi? hayibo kudala ndinyamezele.,"Ezo mlayezo zicaphukisayo endizifumana kwi-DM zisuka phi? Hayi, sele ndizinyamezele ixesha elide.",Abuse,accepted,,,
isiXhosa,train_isixhosa_00071,@USER ndonqena nothukisa ngezinye ilwimi ngoba nditsho kubekanye uba futsek then umntu amise ubucopo bakhe.,"@USER ndonqena nothukisa ngezinye ilwimi ngoba nditsho kubekanye ""suka apha"" emva koko umntu amise izenzo zakhe.",Abuse,accepted,,,
isiXhosa,train_isixhosa_01643,@USER uthetha umsunu kanyoko wena😡😡😡😡,"Uthetha izinto ezingacacanga, wena!",Abuse,accepted,,,
isiXhosa,dev_isixhosa_00489,@USER last night i showed @USER my whatsapp calls and azikho ezakho. wafounela umntu orongo masende akho.,Izolo ebusuku ndamkhombise u-@USER i-WhatsApp yam yeefowuni kwaye azikho ezakho. Wafowunela omnye umntu.,Abuse,accepted,,,
isiXhosa,train_isixhosa_02059,ndiqhelwa ikaka hay nje kancinci.,ndiqhelwa kancinci nje.,Abuse,accepted,,,
isiXhosa,train_isixhosa_02548,@USER iphixiphixi le friend,Lo mhlobo undikhathaza.,Abuse,accepted,,,
isiXhosa,dev_isixhosa_00179,unayo kodwa indawo engathi uleli lidlala ngezulu igqwirha lowa...hence ingandothusi la-tweet.,Unayo kodwa indawo engathi lowo muntu udlala ngezulu... ngoko ke le-tweet ingandothusi.,Abuse,accepted,,,
isiXhosa,train_isixhosa_01692,kanti ubani lochampagne pipi ocasula abantu bethu?? athi ngyombheka URL,"Kanti ngubani lo ""Champagne Pipi"" okhathaza abantu bethu?? Uthi ndiyambheka URL",Abuse,accepted,,,
isiXhosa,dev_isixhosa_00344,uyanuka kodwa ukwazi ukukhuluma kakhulu.,Kunuka kancinci kodwa uyakwazi ukukhuluma kakhulu.,Abuse,accepted,,,
isiXhosa,train_isixhosa_00403,@USER unxilile kwedini utsho bangxathu apha😂😂😂 URL,@USER unxilile kwedini utsho banengxaki apha😂😂😂 URL,Abuse,accepted,,,
isiXhosa,train_isixhosa_02109,ubutywala buyakwazi ukwenza ubembi... kutsho isibhanxa endingasazi nosazi.,ubutywala buyakwazi ukwenza umntu aziphathe kakubi... kutsho umntu endingamazi okanye ongaziwayo,Abuse,accepted,,,
isiXhosa,dev_isixhosa_00275,"itya ngomlomo bhuti, sukhupha ikaka ngawo. URL","Yitya ngomlomo, bhuti, musa ukuthetha izinto ezingalunganga.",Abuse,accepted,,,
isiXhosa,train_isixhosa_00137,@USER yeka ubhala ngendaba zomama qha wena zinintsi izinto ezitshisa ibunzi zamadoda. phuma mgodoyi,"@USER yeka ubhala ngendaba zomama, kukho izinto ezininzi ezicaphukisayo kubadoda. Nceda ushiye.",Abuse,accepted,,,
isiXhosa,train_isixhosa_02068,🙏mayibanjwe injakazi engenambheko izodibana nontaga bayo pha etrongweni. URL,"🙏Makaphathwe ngokomthetho umntu ongenambeko, aze adibane nontanga yakhe etrongweni.",Hate,accepted,,,
isiXhosa,train_isixhosa_00559,ngathi funeka ziphindwe zisikwe ezi pipi zenu zange nifunde nto URL,"Ngathi kufuneka zilungiswe ezi zinto zenu, zange nifunde nto URL",Abuse,accepted,,,
isiXhosa,train_isixhosa_01823,akumnandi emthatha namhlanje kunuka umsunu😭😭,"Akumnandi namhlanje, kunuka kakubi 😭😭",Abuse,accepted,,,
isiXhosa,train_isixhosa_01815,lontombazane from uyangthanda na uzitholele isilambi somuntu vele,"Lontombazane, uyamthanda na? Uzifumene umntu nje.",Abuse,accepted,,,
isiXhosa,train_isixhosa_01402,@USER uzalithini iqaba laku qobo qobo😂,@USER uzalithini wena 😂,Abuse,accepted,,,
isiXhosa,dev_isixhosa_00172,akujwayeleki ukubona isidudla somjitha whos not balling! gci.,akujwayeleki ukubona umntu othanda ukuzibonakalisa ongaphumeleli.,Hate,accepted,,,
isiXhosa,train_isixhosa_00972,yoh hayi sihambe simithela isidenge ke kodwa .,yoh hayi sihambe siziphethe kabi ke kodwa.,Abuse,accepted,,,
isiXhosa,test_isixhosa_00123,"ek'seni kanje seni thetha ikaka, chill lutho lay'khaya.","ek'seni kanje seni thetha into engalunganga, phumla, akukho nto ekhaya.",Abuse,accepted,,,
isiXhosa,train_isixhosa_00101,@USER ngeloxesha nguye igqwirha. yhehake!,@USER ngeloxesha uziphethe ngendlela engaqhelekanga!,Abuse,accepted,,,
isiXhosa,train_isixhosa_02646,uyanuka phu ! URL,Unuka kancinci.,Abuse,accepted,,,
isiXhosa,train_isixhosa_01847,@USER ngumntu naye bekutheni kuze ati#futsek? to be a deputy prsdnt does not means mele ucwanywe entloko,"@USER ngumntu naye, bekutheni kuze ati 'futsek'? Ukuba ungumsekeli kamongameli akutsho ukuba unelungelo lokuziphatha kakubi.",Abuse,accepted,,,
isiXhosa,train_isixhosa_01264,ikaka zisela zilahleke 😭,abantu bayalahleka 😭,Abuse,accepted,,,
isiXhosa,train_isixhosa_01948,azifunwa ke ikaka ezingajoliyo 😂😂😂,Abantu abangakhathaliyo abayifunwa 😂😂😂,Abuse,accepted,,,
isiXhosa,train_isixhosa_00335,"@USER wathi kimi ""msunu kanyoko"" azange ngikholwe. URL","@USER wathi kimi ""akufanelekanga"" azange ngikholwe. URL",Abuse,accepted,,,
isiXhosa,train_isixhosa_00493,heeeeeeee wavela umthakathi sembonile mulimisi#muvhango,"heeeeeeee kwavela umntu obonakala ngathi ungumthakathi, ndimbone umlimisi #muvhango",Abuse,accepted,,,
isiXhosa,dev_isixhosa_00495,uzimpundu ezimdaka wena. URL,Wena ubukeka ungcolile.,Abuse,accepted,,,
isiXhosa,train_isixhosa_00824,@USER 😂🤣🤣🤣 kuhlupha lana ukuba iqaba,@USER 😂🤣🤣🤣 kuhlupha lana ukuba awuziphathanga kakuhle,Abuse,accepted,,,
isiXhosa,train_isixhosa_00515,waze wanuka kabi umuntu akanuki ikwapha kodwa uyanuka nje,Kukho umntu onuka kakhulu.,Abuse,accepted,,,
isiXhosa,train_isixhosa_00598,@USER uyanya manje mdidi wakho,Uyandikhathaza manje.,Abuse,accepted,,,
isiXhosa,train_isixhosa_01260,@USER umthakathi wendaba 🖐️😅🖐️🤣,@USER umxoxi weendaba 🖐️😅🖐️🤣,Abuse,accepted,,,
isiXhosa,dev_isixhosa_00045,"ayika zalwa inkazana enondixelela mandithini nge mali yam ,tyini thiza #lrt","Inkazana, nceda ungandixeleli ukuba ndithini ngemali yam #lrt",Abuse,accepted,,,
isiXhosa,train_isixhosa_01376,@USER kunyuka masende akho!,@USER nyuka nceda!,Abuse,accepted,,,
Yorùbá,train_yoruba_01273,"""gbogbo yin ti ya werey URL",gbogbo yin ti se asise,Abuse,accepted,,,
Yorùbá,train_yoruba_02525,"""@USER but why do you people used to do like olóriburúkú like this? you'll start typing in english then pari ẹ̀ with èdè keèdè. nonsense ni gbogbo iyẹn now""",@USER but why do you people used to do like béẹ̀ like this? you'll start typing in english then pari ẹ̀ with èdè mìíràn. kò dára ni gbogbo iyẹn now,Abuse,accepted,,,
Yorùbá,dev_yoruba_00202,ó fi omi abíyá nu wèrè lójú,ó fi omi abíyá nu aláìlera ọpọlọ lójú,Abuse,accepted,,,
Yorùbá,train_yoruba_03404,"""olofo lo n binu ologo. #k1liveinconcert #k1llveinconcert URL",eni ti ko ni aseyori lo n binu ologo. #k1liveinconcert #k1llveinconcert URL,Abuse,accepted,,,
Yorùbá,test_yoruba_00386,"""orí ẹ dàrú dànù URL",Ìrònú rẹ dàrú díẹ̀.,Abuse,accepted,,,
Yorùbá,dev_yoruba_00384,"""werey la pe keee ko ki n tan lara omo’ba koma ku dansaki😂 URL",aláìlera la pe keee ko ki n tan lara omo’ba koma ku dansaki😂 URL,Abuse,accepted,,,
Yorùbá,train_yoruba_00671,"""@USER oloriburuku ni bobo yen sha""",@USER bobo yen nilo lati dara sii sha,Abuse,accepted,,,
Yorùbá,test_yoruba_00137,"""gbogbo yin ti ya werey papo😂😂 URL",gbogbo yin ti se asise papo😂😂,Abuse,accepted,,,
Yorùbá,train_yoruba_00827,"""@USER were fe ku lori oro oloro.. omo ofo""",@USER O n fi iye re si ewu lori oro oloro.,Abuse,accepted,,,
Yorùbá,train_yoruba_01744,"""@USER oriwon ti buru se!!""",@USER ìronú wọn ti kò dára ṣe!!,Abuse,accepted,,,
Yorùbá,dev_yoruba_00153,àṣẹ̀hìnwá àṣẹ̀hìnbọ̀ arábìnrin àgbèrè nì kó ẹ̀jọ́ ó rò ó fi yé mi wípé ọkọ ò fowó oúnjẹ sílẹ̀ ni òhun fi gbégbáa ọ̀dọ́kọ,àṣẹ̀hìnwá àṣẹ̀hìnbọ̀ arábìnrin náà ni kó ẹ̀jọ́ ó rò ó fi yé mi wípé ọkọ ò fowó oúnjẹ sílẹ̀ ni òhun fi lọ bẹ̀rẹ̀ owó ọ̀dọ́ ọkùnrin,Abuse,accepted,,,
Yorùbá,train_yoruba_02920,Awon Clown gbogbo.,Gbogbo wọn nílò láti dara síi.,Abuse,accepted,,,
Yorùbá,train_yoruba_01824,"""ẹranko ẹhànnà ní àwọn ẹlòmíì.""",Ìwa ẹ̀hànná ní àwọn ẹlòmíì.,Abuse,accepted,,,
Yorùbá,test_yoruba_00472,"""ólófó lò binù òlògò""",Ẹni tó ní òfó ló bínú ològò,Abuse,accepted,,,
Yorùbá,dev_yoruba_00714,ọmọdé kékeré ni ọjọ́ orí rẹ̀ ò lè ju ọdún mẹ́wàá sí méjìà lọ wèrè ni mo rí i lẹ́bàáa títì ńgbàa mo rè é ra sèré mo kó àánú rẹ̀,ọmọdé kékeré ni ọjọ́ orí rẹ̀ ò lè ju ọdún mẹ́wàá sí méjìà lọ aláìlera ọkàn ni mo rí i lẹ́bàáa títì ńgbàa mo rè é ra sèré mo kó àánú rẹ̀,Abuse,accepted,,,
Yorùbá,train_yoruba_03253,"""awon oloshi lo po ju lori app yii men....👌""",awon eniyan ti ko ni iwa rere lo po ju lori app yii men....👌,Abuse,accepted,,,
Yorùbá,train_yoruba_00366,"""@USER olódò ràbàtà""",O nílò láti kọ́ ẹ̀kọ́ síi gan-an.,Abuse,accepted,,,
Yorùbá,dev_yoruba_00516,"""@USER ori eleyi to buru bayi o""",Èrò eléyìí kò dáa báyìí o,Abuse,accepted,,,
Yorùbá,dev_yoruba_00260,"""olórí burúkú ni gbogboyin URL",Gbogbo yín nílò láti dara síi URL,Abuse,accepted,,,
Yorùbá,test_yoruba_00023,"""oniranu omo lo poju ninu yin 😎😎😎😎""",iwa ti ko daa lo poju ninu yin 😎😎😎😎,Abuse,accepted,,,
Yorùbá,train_yoruba_02129,"""@USER wa se orire fun reply yi,oloriburuku gidi ni.""","@USER wa se orire fun reply yi, iwa re nilo itunse.",Abuse,accepted,,,
Yorùbá,train_yoruba_02788,"""@USER oju ma ti gbogbo yin leni apc ma lule""",@USER gbogbo yin ma ni ibanuje leni apc ma lule,Hate,accepted,,,
Yorùbá,train_yoruba_02684,"""àwọn ọmọ àlè URL",àwọn ọmọ tó ní ìwà búburú URL,Abuse,accepted,,,
Yorùbá,train_yoruba_01417,"""@USER abi now. awon eranko jati jati""",@USER abi now. awon eniyan nilo lati dara sii,Abuse,accepted,,,
Yorùbá,dev_yoruba_00128,"""obìnrin yà werey gidi gan....""",obìnrin ń hùwà àìtọ̀ gidi gan....,Hate,accepted,,,
Yorùbá,train_yoruba_01912,"Omo jatijati, rederede",Ìwa rẹ̀ nílò ìtúnṣe díẹ̀.,Abuse,accepted,,,
Yorùbá,train_yoruba_01386,"""eleribu ni won jor URL",Ìṣe wọn kò dáa jor URL,Abuse,accepted,,,
Yorùbá,train_yoruba_00809,wèrè ni rt òǹpìtàn ọ̀jọ̀gbọ́n ifácitì ní pé ènìyàn dúdú ò ní ìtàn kankan kí òyìnbó,aṣiṣe ni rt òǹpìtàn ọ̀jọ̀gbọ́n ifácitì ní pé ènìyàn dúdú ò ní ìtàn kankan kí òyìnbó,Hate,accepted,,,
Yorùbá,dev_yoruba_00369,"""omo ale ni eleyi o URL",Iwa ti eleyi n hu ko daa o,Abuse,accepted,,,
Yorùbá,train_yoruba_00045,ẹnìkan ní irú ìyẹn ò lè ṣiṣẹ́ lékòó wèrè pọ̀ lékòó àwa tá a gbádùn ibẹ̀ ò ju díẹ̀,Ẹnikan ní irú ìyẹn ò lè ṣiṣẹ́; ní lékòó ìṣòro pọ̀; àwa tá a gbádùn ibẹ̀ ò ju díẹ̀.,Abuse,accepted,,,
Yorùbá,train_yoruba_00963,"""werey po gan ni aiye yi sha URL",iwa buburu po gan ni aiye yi sha,Abuse,accepted,,,
Yorùbá,test_yoruba_00155,"""@USER okan oni bale.. oloriburuku ashewo.""",@USER okan re nilo ki o bale.. iwa re nilo itunse.,Abuse,accepted,,,
isiXhosa,train_isixhosa_01809,"but brains dololo, isibhanxa nyani! URL",Kubonakala ungacingi ngokucacileyo!,Abuse,accepted,,,
isiXhosa,train_isixhosa_00723,lamasimba osendelwa incanca kwi dm isuka phi? hayibo kudala ndinyamezele.,"Ezo ntlobo zemiyalezo endizifumana kwi DM zisuka phi? Hayi bo, sele ndinyamezele.",Abuse,accepted,,,
isiXhosa,train_isixhosa_02081,@USER yee wena tumi... in xhosa sukuphambana!!! unxilile kwedini,"Tumi, nceda sukuphambana. Unxilile kwedini",Abuse,accepted,,,
isiXhosa,train_isixhosa_01643,@USER uthetha umsunu kanyoko wena😡😡😡😡,"Uthetha into engacacileyo, wena.",Abuse,accepted,,,
isiXhosa,test_isixhosa_00075,inoba igqwirha elathakatha umasibusane zongo lasweleka kudala.,REVIEW_REQUIRED,Abuse,needs_edit,,,
isiXhosa,train_isixhosa_01248,ubusowubuzile kula cherry yakho okanye uqhela thina ikaka? URL,ubusowubuzile kula cherry yakho okanye uqhela thina nje?,Abuse,accepted,,,
isiXhosa,train_isixhosa_01641,he is umdlwembe lamkhulu URL,Ungumntu onzima kakhulu.,Abuse,accepted,,,
isiXhosa,dev_isixhosa_00286,isifebe ngumntu onyolukileyo ongoneliyo liqabane elinye💅,umntu onomkhwa wokulala nabantu abaninzi akanelisekanga ngoqabane olunye💅,Abuse,accepted,,,
isiXhosa,train_isixhosa_01407,yoooo he is isidenge why did he tell you about our culture anyway akufanele ndithethe ngento zase suthwini URL,yoooo he seems confused why did he tell you about our culture anyway akufanele ndithethe ngento zase suthwini URL,Abuse,accepted,,,
isiXhosa,train_isixhosa_00388,iphixiphixi lomjita liyohlezi liziveza....🤞🏿 some of us see them early! abanye benu bazo bona l8 ....,Iphixiphixi lomjita liyohlezi liziveza....🤞🏿 abanye bethu bayalibona ekuqaleni; abanye benu baza balibona kamva....,Abuse,accepted,,,
isiXhosa,train_isixhosa_02059,ndiqhelwa ikaka hay nje kancinci.,ndiqhelwa into embi nje kancinci.,Abuse,accepted,,,
isiXhosa,train_isixhosa_02548,@USER iphixiphixi le friend,Le friend iyacasula.,Abuse,accepted,,,
isiXhosa,dev_isixhosa_00179,unayo kodwa indawo engathi uleli lidlala ngezulu igqwirha lowa...hence ingandothusi la-tweet.,"Unayo, kodwa indawo engathi leli lidlala ngezulu, lo mntu... hence le tweet ayindothusi.",Abuse,accepted,,,
isiXhosa,train_isixhosa_00225,@USER ndikwazi ingowase bhayi mna kwedini ndadibana nawe ebhayi unxiba icarvela eruben crescent,REVIEW_REQUIRED,Abuse,needs_edit,,,
isiXhosa,dev_isixhosa_00561,@USER labuya ihule lam 🥺,@USER buya sithandwa sam 🥺,Abuse,accepted,,,
isiXhosa,test_isixhosa_00372,nina apha ningayiphika kaka apha for irt's kodwa ikaka iyabonakala ba gca yikaka😂😂😂,"nina apha ningayiphika apha kodwa into iyabonakala, abantu bayayibona 😂😂😂",Abuse,accepted,,,
isiXhosa,train_isixhosa_02109,ubutywala buyakwazi ukwenza ubembi... kutsho isibhanxa endingasazi nosazi.,Ubutywala bunokwenza umntu abe mbi... kuya kubonakala nakwabo endingamaziyo nabaziyo.,Abuse,accepted,,,
isiXhosa,dev_isixhosa_00275,"itya ngomlomo bhuti, sukhupha ikaka ngawo. URL","Itya ngomlomo, bhuti, susa ukungcola kuwo.",Abuse,accepted,,,
isiXhosa,dev_isixhosa_00521,kulapho ke mna ndithi umnqundu wabo. simple! URL,kulapho ke mna ndithi bayaphoxa. simple!,Abuse,accepted,,,
isiXhosa,train_isixhosa_01021,skhumba inja 😂😂😂 #roastofsomizi,skhumba uyahlekisa 😂😂😂 #roastofsomizi,Hate,accepted,,,
isiXhosa,train_isixhosa_00559,ngathi funeka ziphindwe zisikwe ezi pipi zenu zange nifunde nto URL,ngathi funeka ziphindwe zilungiswe ezi mpazamo zenu zange nifunde nto URL,Abuse,accepted,,,
isiXhosa,test_isixhosa_00392,"@USER yiyo lento enqwakuza ukanye,ihagu itya itriffle","@USER yiyo lento enqwakuza ukanye, umntu uyitya itriffle",Abuse,accepted,,,
