source_dataset,source_config,source_split,id,language,label,length,toxic_input_raw,toxic_input_processing,existing_parallel_overlap,phase1_status
AfriHate,xho,train,train_isixhosa_00712,isiXhosa,Abuse,40,"@username uqinisile, vele uyanya mgodoyi","@USER uqinisile, vele uyanya mgodoyi",False,raw_native_annotated_toxic
AfriHate,xho,train,train_isixhosa_00726,isiXhosa,Abuse,30,sikhona senziwa umnqundu ##url,sikhona senziwa umnqundu URL,False,raw_native_annotated_toxic
AfriHate,xho,train,train_isixhosa_01845,isiXhosa,Abuse,46,"ramos is a son of a bitch, umsunu wakhe. ##url","ramos is a son of a bitch, umsunu wakhe. URL",False,raw_native_annotated_toxic
AfriHate,xho,validation,train_isixhosa_01643,isiXhosa,Abuse,41,@username uthetha umsunu kanyoko wena😡😡😡😡,@USER uthetha umsunu kanyoko wena😡😡😡😡,False,raw_native_annotated_toxic
AfriHate,xho,train,test_isixhosa_00075,isiXhosa,Abuse,62,inoba igqwirha elathakatha umasibusane zongo lasweleka kudala.,inoba igqwirha elathakatha umasibusane zongo lasweleka kudala.,False,raw_native_annotated_toxic
AfriHate,xho,train,train_isixhosa_01248,isiXhosa,Abuse,64,ubusowubuzile kula cherry yakho okanye uqhela thina ikaka? ##url,ubusowubuzile kula cherry yakho okanye uqhela thina ikaka? URL,False,raw_native_annotated_toxic
AfriHate,xho,test,train_isixhosa_02272,isiXhosa,Hate,143,"ndikhule kusithiwa ndiliqheya, nkawu nkawana whitey, pape qheya. abanye babesithi umama makathethi nyani. maxhosa masiyeku calulana sodwa ##url","ndikhule kusithiwa ndiliqheya, nkawu nkawana whitey, pape qheya. abanye babesithi umama makathethi nyani. maxhosa masiyeku calulana sodwa URL",False,raw_native_annotated_toxic
AfriHate,xho,train,train_isixhosa_01641,isiXhosa,Abuse,30,he is umdlwembe lamkhulu ##url,he is umdlwembe lamkhulu URL,False,raw_native_annotated_toxic
AfriHate,xho,train,train_isixhosa_01206,isiXhosa,Abuse,70,"@username igqwirha elenze lepizza liselitsha, lenza umatric sana. wow!","@USER igqwirha elenze lepizza liselitsha, lenza umatric sana. wow!",False,raw_native_annotated_toxic
AfriHate,xho,validation,dev_isixhosa_00286,isiXhosa,Abuse,56,isifebe ngumntu onyolukileyo ongoneliyo liqabane elinye💅,isifebe ngumntu onyolukileyo ongoneliyo liqabane elinye💅,False,raw_native_annotated_toxic
AfriHate,xho,validation,train_isixhosa_00100,isiXhosa,Abuse,32,injubaqa zodwa ezilapha 😩😩 ##url,injubaqa zodwa ezilapha 😩😩 URL,False,raw_native_annotated_toxic
AfriHate,xho,train,train_isixhosa_02592,isiXhosa,Abuse,28,inkulu ke noko le pipi ##url,inkulu ke noko le pipi URL,False,raw_native_annotated_toxic
AfriHate,xho,train,test_isixhosa_00261,isiXhosa,Abuse,39,@username kuyasho ukuthi igeza lensizwa,@USER kuyasho ukuthi igeza lensizwa,False,raw_native_annotated_toxic
AfriHate,xho,train,test_isixhosa_00106,isiXhosa,Abuse,158,konje last year december i was arrested for beating up someone who called me ngo msunu kanyoko. took me for granted ngoba ngimfishane wathi uzongshaya 🤦🏽‍♂️..,konje last year december i was arrested for beating up someone who called me ngo msunu kanyoko. took me for granted ngoba ngimfishane wathi uzongshaya 🤦🏽‍♂️..,False,raw_native_annotated_toxic
AfriHate,xho,train,dev_isixhosa_00357,isiXhosa,Abuse,129,"@username please pass message to her ukuthi ngithe msunu kanyoko! yibo abantu abadla phezulu ngecorruption, inja zabantu umgodoyi","@USER please pass message to her ukuthi ngithe msunu kanyoko! yibo abantu abadla phezulu ngecorruption, inja zabantu umgodoyi",False,raw_native_annotated_toxic
AfriHate,xho,test,train_isixhosa_02113,isiXhosa,Hate,20,ilawu leli? #isibaya,ilawu leli? #isibaya,False,raw_native_annotated_toxic
AfriHate,xho,train,train_isixhosa_02614,isiXhosa,Hate,113,@username sijatshuliswa ukulandelwa kwaso kwa instagram isitabane sa se pitoli ngu saziwayo ubonang matheba... ;),@USER sijatshuliswa ukulandelwa kwaso kwa instagram isitabane sa se pitoli ngu saziwayo ubonang matheba... ;),False,raw_native_annotated_toxic
AfriHate,xho,validation,test_isixhosa_00301,isiXhosa,Abuse,85,ngeke uthi uyangithanda kodwa ungibize ngo manelisi. akulona igama lami lelo. futsek!,ngeke uthi uyangithanda kodwa ungibize ngo manelisi. akulona igama lami lelo. futsek!,False,raw_native_annotated_toxic
AfriHate,xho,train,dev_isixhosa_00489,isiXhosa,Abuse,113,@username last night i showed @username my whatsapp calls and azikho ezakho. wafounela umntu orongo masende akho.,@USER last night i showed @USER my whatsapp calls and azikho ezakho. wafounela umntu orongo masende akho.,False,raw_native_annotated_toxic
AfriHate,xho,test,train_isixhosa_01385,isiXhosa,Abuse,87,@username inja emithayo nja ndini. mithisa ezangakini ngoba ulala nemgodoyi phela wena.,@USER inja emithayo nja ndini. mithisa ezangakini ngoba ulala nemgodoyi phela wena.,False,raw_native_annotated_toxic
AfriHate,xho,train,test_isixhosa_00101,isiXhosa,Abuse,114,"ayixoki indoda endijola nayo bethuna uthi amaphara aseqonce afika kuwe athi ""yey futsek sikhaphe siyoyika""😭😭😭😭😭😭😭😭","ayixoki indoda endijola nayo bethuna uthi amaphara aseqonce afika kuwe athi ""yey futsek sikhaphe siyoyika""😭😭😭😭😭😭😭😭",False,raw_native_annotated_toxic
AfriHate,xho,train,train_isixhosa_02180,isiXhosa,Abuse,58,😂🤣 akafuni nombona shame igqwirhakazi labantu usindi ##url,😂🤣 akafuni nombona shame igqwirhakazi labantu usindi URL,False,raw_native_annotated_toxic
AfriHate,xho,train,train_isixhosa_01654,isiXhosa,Abuse,26,umnqundu oqhala apho ##url,umnqundu oqhala apho URL,False,raw_native_annotated_toxic
AfriHate,xho,train,train_isixhosa_01407,isiXhosa,Abuse,112,yoooo he is isidenge why did he tell you about our culture anyway akufanele ndithethe ngento zase suthwini ##url,yoooo he is isidenge why did he tell you about our culture anyway akufanele ndithethe ngento zase suthwini URL,False,raw_native_annotated_toxic
AfriHate,xho,train,train_isixhosa_00388,isiXhosa,Abuse,101,iphixiphixi lomjita liyohlezi liziveza....🤞🏿 some of us see them early! abanye benu bazo bona l8 ....,iphixiphixi lomjita liyohlezi liziveza....🤞🏿 some of us see them early! abanye benu bazo bona l8 ....,False,raw_native_annotated_toxic
AfriHate,xho,train,train_isixhosa_02059,isiXhosa,Abuse,33,ndiqhelwa ikaka hay nje kancinci.,ndiqhelwa ikaka hay nje kancinci.,False,raw_native_annotated_toxic
AfriHate,xho,train,test_isixhosa_00027,isiXhosa,Abuse,136,@username zogulisa iinduna zethu wena mgodoyi kutheni ungayohlala kwakho or uyobabusy kule mortuary  yakho etonoreraaaaa kamnandi didi..,@USER zogulisa iinduna zethu wena mgodoyi kutheni ungayohlala kwakho or uyobabusy kule mortuary yakho etonoreraaaaa kamnandi didi..,False,raw_native_annotated_toxic
AfriHate,xho,train,train_isixhosa_01875,isiXhosa,Hate,70,@username asithethi nga gym ngoku sithetha ngokhaba injakazi ka thixo.,@USER asithethi nga gym ngoku sithetha ngokhaba injakazi ka thixo.,False,raw_native_annotated_toxic
AfriHate,xho,train,train_isixhosa_00447,isiXhosa,Hate,85,"as for ""wathinta abafazi wathint' ibhokodo, wathinta isitabane wathint' igabade"" :""""d","as for ""wathinta abafazi wathint' ibhokodo, wathinta isitabane wathint' igabade"" :""""d",False,raw_native_annotated_toxic
AfriHate,xho,train,train_isixhosa_01028,isiXhosa,Abuse,53,@username nasi esinye isibhanxa #blocksenzoooou ##url,@USER nasi esinye isibhanxa #blocksenzoooou URL,False,raw_native_annotated_toxic
AfriHate,xho,train,train_isixhosa_02132,isiXhosa,Abuse,36,msunu kanyoko wena sfebe ndini ##url,msunu kanyoko wena sfebe ndini URL,False,raw_native_annotated_toxic
AfriHate,xho,validation,dev_isixhosa_00367,isiXhosa,Hate,58,@username so nyana xa kudlula ilawu or umlungu awuyifihli?,@USER so nyana xa kudlula ilawu or umlungu awuyifihli?,False,raw_native_annotated_toxic
AfriHate,xho,test,test_isixhosa_00279,isiXhosa,Hate,85,i loathed him shem! 😂😂angaz laba abamthandayo wabayela kuliphi ikula lomuthi 🌚🤣 ##url,i loathed him shem! 😂😂angaz laba abamthandayo wabayela kuliphi ikula lomuthi 🌚🤣 URL,False,raw_native_annotated_toxic
AfriHate,xho,train,train_isixhosa_01325,isiXhosa,Abuse,43,niyawondlula kodwa umsunu ezibhedin zethu 🛌,niyawondlula kodwa umsunu ezibhedin zethu 🛌,False,raw_native_annotated_toxic
AfriHate,xho,validation,train_isixhosa_02548,isiXhosa,Abuse,31,@username iphixiphixi le friend,@USER iphixiphixi le friend,False,raw_native_annotated_toxic
AfriHate,xho,train,dev_isixhosa_00179,isiXhosa,Abuse,93,unayo kodwa indawo engathi uleli lidlala ngezulu igqwirha lowa...hence ingandothusi la-tweet.,unayo kodwa indawo engathi uleli lidlala ngezulu igqwirha lowa...hence ingandothusi la-tweet.,False,raw_native_annotated_toxic
AfriHate,xho,train,train_isixhosa_01806,isiXhosa,Abuse,240,"iyixhaphaze ihagu ikuku yakhe mfethu iyisulele e ntloko 🙆🏿‍♂️ imdubule intshontsho imithise, imnyele imshiye ebugxwayibeni. wena you're just there as a shoulder to cry on. you offer more than that she gives you that brian lara bat 😭💔🙄 ##url","iyixhaphaze ihagu ikuku yakhe mfethu iyisulele e ntloko 🙆🏿‍♂️ imdubule intshontsho imithise, imnyele imshiye ebugxwayibeni. wena you're just there as a shoulder to cry on. you offer more than that she gives you that brian lara bat 😭💔🙄 URL",False,raw_native_annotated_toxic
AfriHate,xho,test,train_isixhosa_00779,isiXhosa,Hate,41,@username kwaaaa sajaiva isidudla #stumbo,@USER kwaaaa sajaiva isidudla #stumbo,False,raw_native_annotated_toxic
AfriHate,xho,validation,train_isixhosa_01692,isiXhosa,Abuse,73,kanti ubani lochampagne pipi ocasula abantu bethu?? athi ngyombheka ##url,kanti ubani lochampagne pipi ocasula abantu bethu?? athi ngyombheka URL,False,raw_native_annotated_toxic
AfriHate,xho,train,train_isixhosa_00244,isiXhosa,Abuse,70,"kemna andiyijaiveli ikaka ebethwe ngocingo, umntu makafe bhetele ##url","kemna andiyijaiveli ikaka ebethwe ngocingo, umntu makafe bhetele URL",False,raw_native_annotated_toxic
AfriHate,xho,validation,train_isixhosa_01357,isiXhosa,Abuse,43,"@username ""isifebe unyoko..."" 😭😭😭😭⚰️💀 ##url","@USER ""isifebe unyoko..."" 😭😭😭😭⚰️💀 URL",False,raw_native_annotated_toxic
AfriHate,xho,train,train_isixhosa_00185,isiXhosa,Abuse,78,"@username kuthiwa ihule limnandi, nasezinkukhwini kunjalo, inyama yazo imnandi","@USER kuthiwa ihule limnandi, nasezinkukhwini kunjalo, inyama yazo imnandi",False,raw_native_annotated_toxic
AfriHate,xho,train,train_isixhosa_01839,isiXhosa,Abuse,55,@username manje senzeni ngalokho wena mdidi wenja ##url,@USER manje senzeni ngalokho wena mdidi wenja URL,False,raw_native_annotated_toxic
AfriHate,xho,validation,train_isixhosa_00757,isiXhosa,Abuse,92,ujayva kuze kuse unondatshaza wase mdantsane akho kwa leaving the party early ngandawo ##url,ujayva kuze kuse unondatshaza wase mdantsane akho kwa leaving the party early ngandawo URL,False,raw_native_annotated_toxic
AfriHate,xho,train,train_isixhosa_00901,isiXhosa,Abuse,126,"ngase naye bamenze inkazana  kulo jail, kunzima noyothenga umarhosha lho wakwambala okanye ke azame unkaringa xa elamba. ##url","ngase naye bamenze inkazana kulo jail, kunzima noyothenga umarhosha lho wakwambala okanye ke azame unkaringa xa elamba. URL",False,raw_native_annotated_toxic
AfriHate,xho,validation,dev_isixhosa_00344,isiXhosa,Abuse,40,uyanuka kodwa ukwazi ukukhuluma kakhulu.,uyanuka kodwa ukwazi ukukhuluma kakhulu.,False,raw_native_annotated_toxic
AfriHate,xho,train,train_isixhosa_02595,isiXhosa,Abuse,66,"niyalamba mina shame ,my dms kugcwele izimenqe ,ikaka ezilambileyo","niyalamba mina shame ,my dms kugcwele izimenqe ,ikaka ezilambileyo",False,raw_native_annotated_toxic
AfriHate,xho,train,train_isixhosa_00754,isiXhosa,Hate,24,muhle umnyamana wami. ❤️,muhle umnyamana wami. ❤️,False,raw_native_annotated_toxic
AfriHate,xho,train,train_isixhosa_01942,isiXhosa,Hate,130,hawu! rt @username : isitabane sangempela rt @username : indoda ethanda amanye amadoda rt @username : ukhaya indoda ethandazayo...,hawu! rt @USER : isitabane sangempela rt @USER : indoda ethanda amanye amadoda rt @USER : ukhaya indoda ethandazayo...,False,raw_native_annotated_toxic
AfriHate,xho,test,train_isixhosa_02178,isiXhosa,Hate,76,"hhayi sakhi. “@username : vele! rt ""@username : isifebe siyathandeka kodwa""”","hhayi sakhi. “@USER : vele! rt ""@USER : isifebe siyathandeka kodwa""”",False,raw_native_annotated_toxic
AfriHate,xho,train,test_isixhosa_00024,isiXhosa,Abuse,46,@username nawe msunu kanyoko zingcili zegolo 😂,@USER nawe msunu kanyoko zingcili zegolo 😂,False,raw_native_annotated_toxic
AfriHate,xho,validation,train_isixhosa_00136,isiXhosa,Hate,38,naku ngigwajiswa ikula egoli bakwethu.,naku ngigwajiswa ikula egoli bakwethu.,False,raw_native_annotated_toxic
AfriHate,xho,train,test_isixhosa_00428,isiXhosa,Abuse,98,@username yiyo lensangu ekwenza umdlwembe vele!? uwuskhotheni phela wena! unyoko uthini ngalokho!?,@USER yiyo lensangu ekwenza umdlwembe vele!? uwuskhotheni phela wena! unyoko uthini ngalokho!?,False,raw_native_annotated_toxic
AfriHate,xho,validation,dev_isixhosa_00142,isiXhosa,Abuse,70,umkhothe 3 years yonke ajike akushiye usale ubhodla umsunu wakhe njalo,umkhothe 3 years yonke ajike akushiye usale ubhodla umsunu wakhe njalo,False,raw_native_annotated_toxic
AfriHate,xho,train,train_isixhosa_00403,isiXhosa,Abuse,56,@username unxilile kwedini utsho bangxathu apha😂😂😂 ##url,@USER unxilile kwedini utsho bangxathu apha😂😂😂 URL,False,raw_native_annotated_toxic
AfriHate,xho,train,train_isixhosa_00225,isiXhosa,Abuse,99,@username ndikwazi ingowase bhayi mna kwedini ndadibana nawe ebhayi unxiba icarvela eruben crescent,@USER ndikwazi ingowase bhayi mna kwedini ndadibana nawe ebhayi unxiba icarvela eruben crescent,False,raw_native_annotated_toxic
AfriHate,xho,validation,train_isixhosa_01388,isiXhosa,Abuse,39,cula umnqundu nocula umnqundu 😂😂😂 ##url,cula umnqundu nocula umnqundu 😂😂😂 URL,False,raw_native_annotated_toxic
AfriHate,xho,train,train_isixhosa_01255,isiXhosa,Abuse,40,@username niphiliswa is’futsek egoli 😭🤞🏾,@USER niphiliswa is’futsek egoli 😭🤞🏾,False,raw_native_annotated_toxic
AfriHate,xho,validation,train_isixhosa_01075,isiXhosa,Hate,47,khohlwa isitabane sasezilalini.....hahaha ##url,khohlwa isitabane sasezilalini.....hahaha URL,False,raw_native_annotated_toxic
AfriHate,xho,validation,dev_isixhosa_00561,isiXhosa,Abuse,28,@username labuya ihule lam 🥺,@USER labuya ihule lam 🥺,False,raw_native_annotated_toxic
AfriHate,xho,validation,train_isixhosa_00192,isiXhosa,Abuse,30,umnqundu utshise 😭😭😭🤣🤣🤣🤣 ##url,umnqundu utshise 😭😭😭🤣🤣🤣🤣 URL,False,raw_native_annotated_toxic
AfriHate,xho,train,train_isixhosa_02623,isiXhosa,Hate,100,"lol :'''d  rt""@username : ""ndithanda injakazi ezimdaka nantso ingxaki yam""#lyricsfromenglishtoxhosa""","lol :'''d rt""@USER : ""ndithanda injakazi ezimdaka nantso ingxaki yam""#lyricsfromenglishtoxhosa""",False,raw_native_annotated_toxic
AfriHate,xho,test,dev_isixhosa_00117,isiXhosa,Abuse,41,isifebe sendoda kway'sholo izingane zoma.,isifebe sendoda kway'sholo izingane zoma.,False,raw_native_annotated_toxic
AfriHate,xho,train,test_isixhosa_00372,isiXhosa,Abuse,83,nina apha ningayiphika kaka apha for irt's kodwa ikaka iyabonakala ba gca yikaka😂😂😂,nina apha ningayiphika kaka apha for irt's kodwa ikaka iyabonakala ba gca yikaka😂😂😂,False,raw_native_annotated_toxic
AfriHate,xho,train,train_isixhosa_01564,isiXhosa,Abuse,47,uzomsula njani kengoku umnqundu wakho?😭😭😭 ##url,uzomsula njani kengoku umnqundu wakho?😭😭😭 URL,False,raw_native_annotated_toxic
AfriHate,xho,train,dev_isixhosa_00564,isiXhosa,Hate,92,"""@username : kahle nkawana!!! #nkafezile #isibaya #isibayamzansi"" lol kunjalo nje mtakababa!","""@USER : kahle nkawana!!! #nkafezile #isibaya #isibayamzansi"" lol kunjalo nje mtakababa!",False,raw_native_annotated_toxic
AfriHate,xho,train,train_isixhosa_01591,isiXhosa,Abuse,53,@username yawubiza nge umnqundu kele in sum episodes🤣,@USER yawubiza nge umnqundu kele in sum episodes🤣,False,raw_native_annotated_toxic
AfriHate,xho,test,dev_isixhosa_00067,isiXhosa,Hate,35,wack wack wack litshilo ilawu ##url,wack wack wack litshilo ilawu URL,False,raw_native_annotated_toxic
AfriHate,xho,train,train_isixhosa_01551,isiXhosa,Abuse,130,"""ngyambuka umuntu othi ngiyinja ngoba ngyazazi angiyona inja, ngiwumgodoyi wokugcina"". zuma yekela manje ngeke baba kwanele. ##url","""ngyambuka umuntu othi ngiyinja ngoba ngyazazi angiyona inja, ngiwumgodoyi wokugcina"". zuma yekela manje ngeke baba kwanele. URL",False,raw_native_annotated_toxic
AfriHate,xho,train,train_isixhosa_01082,isiXhosa,Abuse,45,@username tsek....mgodoyi ungenaphi uzuma la😏,@USER tsek....mgodoyi ungenaphi uzuma la😏,False,raw_native_annotated_toxic
AfriHate,xho,train,train_isixhosa_02109,isiXhosa,Abuse,74,ubutywala buyakwazi ukwenza ubembi... kutsho isibhanxa endingasazi nosazi.,ubutywala buyakwazi ukwenza ubembi... kutsho isibhanxa endingasazi nosazi.,False,raw_native_annotated_toxic
AfriHate,xho,train,dev_isixhosa_00275,isiXhosa,Abuse,48,"itya ngomlomo bhuti, sukhupha ikaka ngawo. ##url","itya ngomlomo bhuti, sukhupha ikaka ngawo. URL",False,raw_native_annotated_toxic
AfriHate,xho,train,train_isixhosa_01931,isiXhosa,Hate,35,@username isifebe sohlala isisifebe,@USER isifebe sohlala isisifebe,False,raw_native_annotated_toxic
AfriHate,xho,train,dev_isixhosa_00116,isiXhosa,Abuse,142,@username mina bheka la mdidi ungangijwayeli umnqundu if ubhorekile hamba uyodlala ngodaka angiyona insango angibhenywe sdwaba sikanyoko ##url,@USER mina bheka la mdidi ungangijwayeli umnqundu if ubhorekile hamba uyodlala ngodaka angiyona insango angibhenywe sdwaba sikanyoko URL,False,raw_native_annotated_toxic
AfriHate,xho,test,dev_isixhosa_00521,isiXhosa,Abuse,50,kulapho ke mna ndithi umnqundu wabo. simple! ##url,kulapho ke mna ndithi umnqundu wabo. simple! URL,False,raw_native_annotated_toxic
AfriHate,xho,test,train_isixhosa_01223,isiXhosa,Hate,41,@username 🤭🤣🤣🤣 kanene ngubani inxilakazi?,@USER 🤭🤣🤣🤣 kanene ngubani inxilakazi?,False,raw_native_annotated_toxic
AfriHate,xho,train,train_isixhosa_01026,isiXhosa,Abuse,75,this lady is so rude yezwa. uzobona izinqa zesele ke masende kayihlo. nxxxx,this lady is so rude yezwa. uzobona izinqa zesele ke masende kayihlo. nxxxx,False,raw_native_annotated_toxic
AfriHate,xho,train,train_isixhosa_02102,isiXhosa,Abuse,66,"isibhanxa, @username is now trending in #johannesburg  ##url ##url","isibhanxa, @USER is now trending in #johannesburg URL URL",False,raw_native_annotated_toxic
AfriHate,xho,validation,train_isixhosa_02503,isiXhosa,Hate,39,@username mina ngiphuza inkawu? 😒 ##url,@USER mina ngiphuza inkawu? 😒 URL,False,raw_native_annotated_toxic
AfriHate,xho,test,train_isixhosa_01021,isiXhosa,Hate,31,skhumba inja 😂😂😂 #roastofsomizi,skhumba inja 😂😂😂 #roastofsomizi,False,raw_native_annotated_toxic
AfriHate,xho,train,test_isixhosa_00293,isiXhosa,Abuse,108,"@username unyanisile, imenemene ngulamduduzi, umjule emlonyeni weengonyama, like tshwaaa!!, phakathi inside.","@USER unyanisile, imenemene ngulamduduzi, umjule emlonyeni weengonyama, like tshwaaa!!, phakathi inside.",False,raw_native_annotated_toxic
AfriHate,xho,test,test_isixhosa_00455,isiXhosa,Abuse,25,"as ""umnqundu wegwinya"" 🤣😭","as ""umnqundu wegwinya"" 🤣😭",False,raw_native_annotated_toxic
AfriHate,xho,train,train_isixhosa_00009,isiXhosa,Hate,101,@username #kuthiwa make wawadla ikula liyokudonsa ngekhala uyolithithizela mina bru nop angiwalokothi,@USER #kuthiwa make wawadla ikula liyokudonsa ngekhala uyolithithizela mina bru nop angiwalokothi,False,raw_native_annotated_toxic
AfriHate,xho,test,train_isixhosa_02578,isiXhosa,Hate,40,ikula libheba ichina......#ghettophrases,ikula libheba ichina......#ghettophrases,False,raw_native_annotated_toxic
AfriHate,xho,train,train_isixhosa_00137,isiXhosa,Abuse,103,@username yeka ubhala ngendaba zomama qha wena zinintsi izinto ezitshisa ibunzi zamadoda. phuma mgodoyi,@USER yeka ubhala ngendaba zomama qha wena zinintsi izinto ezitshisa ibunzi zamadoda. phuma mgodoyi,False,raw_native_annotated_toxic
AfriHate,xho,validation,train_isixhosa_00376,isiXhosa,Hate,154,@username isidudla sangempela siphethe isilenda sase msinga sisonke bafwethu ayishe inamba  @username #chillaz  #nasezichakeni ukhona emtubatuba ophaphasi,@USER isidudla sangempela siphethe isilenda sase msinga sisonke bafwethu ayishe inamba @USER #chillaz #nasezichakeni ukhona emtubatuba ophaphasi,False,raw_native_annotated_toxic
AfriHate,xho,test,train_isixhosa_02068,isiXhosa,Hate,78,🙏mayibanjwe injakazi engenambheko izodibana nontaga bayo pha etrongweni. ##url,🙏mayibanjwe injakazi engenambheko izodibana nontaga bayo pha etrongweni. URL,False,raw_native_annotated_toxic
AfriHate,xho,train,train_isixhosa_00559,isiXhosa,Abuse,69,ngathi funeka ziphindwe zisikwe ezi pipi zenu zange nifunde nto ##url,ngathi funeka ziphindwe zisikwe ezi pipi zenu zange nifunde nto URL,False,raw_native_annotated_toxic
AfriHate,xho,test,train_isixhosa_00278,isiXhosa,Abuse,57,"yey umnqundu we mask, hoyani le kaka ilapha phandle ##url","yey umnqundu we mask, hoyani le kaka ilapha phandle URL",False,raw_native_annotated_toxic
AfriHate,xho,validation,train_isixhosa_01872,isiXhosa,Abuse,25,"mgodoyi ""@username : 😍😍😍""","mgodoyi ""@USER : 😍😍😍""",False,raw_native_annotated_toxic
AfriHate,xho,train,train_isixhosa_01823,isiXhosa,Abuse,44,akumnandi emthatha namhlanje kunuka umsunu😭😭,akumnandi emthatha namhlanje kunuka umsunu😭😭,False,raw_native_annotated_toxic
AfriHate,xho,train,train_isixhosa_01866,isiXhosa,Hate,42,angikaze ngisibona isitabane esine bhesi 🤔,angikaze ngisibona isitabane esine bhesi 🤔,False,raw_native_annotated_toxic
AfriHate,xho,train,test_isixhosa_00392,isiXhosa,Abuse,57,"@username yiyo lento enqwakuza ukanye,ihagu itya itriffle","@USER yiyo lento enqwakuza ukanye,ihagu itya itriffle",False,raw_native_annotated_toxic
AfriHate,xho,train,train_isixhosa_01815,isiXhosa,Abuse,65,lontombazane from uyangthanda na uzitholele isilambi somuntu vele,lontombazane from uyangthanda na uzitholele isilambi somuntu vele,False,raw_native_annotated_toxic
AfriHate,xho,train,train_isixhosa_01402,isiXhosa,Abuse,42,@username uzalithini iqaba laku qobo qobo😂,@USER uzalithini iqaba laku qobo qobo😂,False,raw_native_annotated_toxic
AfriHate,xho,test,train_isixhosa_02218,isiXhosa,Abuse,70,@username ayi suka noma engafa vele wasidelela logogo akafe umthakathi,@USER ayi suka noma engafa vele wasidelela logogo akafe umthakathi,False,raw_native_annotated_toxic
