id	tweet	label	length
train_isixhosa_00775	@username #masigoduke ndandiqhele ukuva kusithiwa iquigney igcwele oomarhosha tj0o ndithe ndisohlala apha ndazbonela @username ..	Abuse	129
test_isixhosa_00041	uhili oxakwe sistameta unjani ?? 😭😭 ##url	Normal	41
train_isixhosa_00919	usisilingo utsho nge ginger hair.	Normal	33
dev_isixhosa_00127	if ukhona kuhotleys avenue and ufuna ixoxo iza apha uzodla nathi on us. ##url	Normal	77
test_isixhosa_00009	nkawana bakithi uyazifela ngofezile😢 #isibaya	Normal	45
dev_isixhosa_00091	"uthi kutheni sipheka amathambo nomngqusho nxa kubanda rt""@username : im actually very warm for ibhityo..dont judge a book by its cover"""	Normal	135
dev_isixhosa_00247	😂😂😂ngathi uyanuka futhi😷 ##url	Abuse	30
train_isixhosa_00707	@username ixoxo nexoxo umazigxumele ##url	Normal	41
train_isixhosa_00159	kyahlupha ukuba impimpi bcoz ukhuluma nezinto ezingafuni wena😕😔😔.  abantu abafunde ababheke indaba zabo &amp; ujabule💪🏃🔥 ##url	Normal	126
dev_isixhosa_00056	#nkawana uzivusele yena ufezile. angabuyeli kuqondi. #isibaya 😂😂😂😂	Normal	66
dev_isixhosa_00049	@username ukhe ulive ixoki xa lixoka kamnandi mntkbw 😩	Normal	54
dev_isixhosa_00273	awunondoyisa kodwa kwedini ##url	Abuse	32
test_isixhosa_00282	ndiyayibona eyotya. andikaphungi nekofu so expect impundulu as my proxy kulo meeting ##url	Normal	90
dev_isixhosa_00545	asilazi. sazi ixelegu. ##url	Normal	28
train_isixhosa_02107	zinathi got moer'ed by igintsa because the guy's girl wanikezela ipurse yakhe kuzin to hold while she peed 😂😂	Normal	109
train_isixhosa_01136	i wonder ama china asithathaph isibind sokudla ixoxo🐸 njengoba libaba kanje💔🤮	Normal	77
train_isixhosa_01907	#thingsfriendswonttellyou ukuthi umlomo wakho uyanuka 😂💔 ##url	Abuse	62
train_isixhosa_01967	😂😂😂😂😂😂“@username : uthi ngimubi nje ngizalwa wuwe yini msunu kanyoko”	Abuse	69
train_isixhosa_01570	@username nawe yenza khona lokho mdidi ##url	Abuse	44
train_isixhosa_01127	msunu kanyoko lowo ungazosukela ezinye ingane wena masende ebongolo ##url	Abuse	73
train_isixhosa_01778	since vele vele ixoxo ne xoxo liyayinyobela wena ufuna ukunyotshelwa ubani.. jr is hilarious kodwa	Normal	98
test_isixhosa_00355	@username ngimfuna yena ne pipi yakhe	Normal	37
train_isixhosa_00021	besidlala ngamanzi 🏊‍♀️ no rocksilversa khulekanimdlalose 🏖🏖 @ ilawu lodge, newcastle ##url	Normal	91
train_isixhosa_00374	@username bathi umdidi wakho uyanuka.	Abuse	37
train_isixhosa_01696	@username wena uyahlanya ngekhanda le pipi	Abuse	42
train_isixhosa_00467	nkunzi isela elikhulu #uzalo 😂😂😂😂😂😂😂😂😂😂😂  💔	Normal	43
train_isixhosa_02115	why should it be that way tho? 😩😩 “@username : ithemba alibulali qha lenza umtu isibhanxa”	Abuse	90
train_isixhosa_02084	kulecase kapistorius,kukho ozolala entolongweni apho inkawu ityiwa ilila,imfene isinda ngokgoloza.uzolala ebaliwe avuke echetyiwe	Normal	129
train_isixhosa_01145	@username okanye uvele ukhabe isibhanxa enye nenye zayibona mva... 🤷🏾‍♂️	Abuse	72
train_isixhosa_01656	rha liyanya inkazana elingade lithethe nendoda yam ndihleli nayo, yintoni ngoku.	Abuse	80
train_isixhosa_00362	ngisuthiswe kwe mfene 😖	Normal	23
dev_isixhosa_00044	mna ndisukwini, ilawu, ichwama, dibashe, nja-bomvu,sadlala-ngca ithole lomthwakazi! :-)	Normal	87
train_isixhosa_01605	@username waye america wase wabangengathi uthengisa ibhentse gigi   kahle ngokusihlaza wena ##url	Abuse	97
train_isixhosa_01923	my parents are ootsotsi no wonder ndingu tsotsi kangaka when it comes to imali ##url	Normal	84
dev_isixhosa_00118	and angathushuka lapho emfuleni ngoba naye umthakathi bae ave ehlupha ##url	Abuse	75
train_isixhosa_02298	@username nkabinde umthakathi, akayona nyanga	Normal	45
train_isixhosa_01788	@username askies makubhlungu kodwa, ubuyile. utsotsi wase nkandla makonya	Abuse	73
train_isixhosa_00987	@username ay bawenzile umsunu shame, angifuni ukungasho😪💔	Abuse	57
train_isixhosa_01115	@username ngasibona isidudla sangakithi ku indaba sabc1 siphawula ngokulahleka kwengane	Normal	87
train_isixhosa_01158	isixhosa kwedini ♥️	Normal	19
train_isixhosa_02124	@username abasemagunyeni norhulumente weli makangenelele ngokukhawuleza beze nesisombululo le meko ingekade yazala udlolwazana @username 	Normal	137
train_isixhosa_00804	@username azingidini nje lezozi mfene ##url	Normal	43
test_isixhosa_00264	@username inkwenkwe enxiba iqhiya 😭😭😭sayonqeni	Normal	46
test_isixhosa_00232	satma13nominees best mbaqanga album. artist/group album  1. bomshell uthando 2.ababekezeli sipheth'imnyovu 3. ompetha umbulali	Normal	126
train_isixhosa_02196	@username sonke futhi, umntu makafunde igeza lake ahlale phantsi🤣🤣 ##url	Abuse	72
train_isixhosa_00887	@username uba uyasazi isigebenga. siso esiya 🙊	Normal	46
train_isixhosa_02447	@username siqhele over yilonto imenemene silibona lipha kude	Abuse	60
train_isixhosa_01593	imani, sesiphi isilwanyana esi👇🏼?🤔 ##url	Normal	40
train_isixhosa_01664	@username kahle kahle ikula 😂	Hate	29
train_isixhosa_01616	igintsa lempundu ! ##url	Normal	24
train_isixhosa_01074	@username umbulali . inkabi	Normal	27
test_isixhosa_00075	inoba igqwirha elathakatha umasibusane zongo lasweleka kudala.	Abuse	62
train_isixhosa_00097	@username yho lanquma inqatha	Normal	29
train_isixhosa_00605	"uyityisa ipudding 😂😂👎 ""@username : ingathi ndiyazibona sendithatha ihagu ndiyifaka ebhedini, why???"""	Normal	100
test_isixhosa_00364	@username abanye ootsotsi abakayeki ukufaka iiokapi ezikawusini. luto still hide his there.😎😎	Normal	93
dev_isixhosa_00202	@username ekabhuti 😂😂😂mina aish nginomunye utsotsi😂😂	Normal	52
dev_isixhosa_00075	the next generation. kwedini harold khawume kancane nale ntwana unico.siza kwenza imali ngani makwedini ##url	Abuse	109
train_isixhosa_02411	uyayinxila ikaka 😂 ##url	Abuse	24
train_isixhosa_02128	uyayidlala incanca lodj😭😪	Abuse	25
train_isixhosa_01836	no nigga will complain before! but uzobona sebekqhelela engathi uyanuka nje	Normal	75
test_isixhosa_00327	lol that is something inkwenkwe or unofotyela could say   undenza ndizibuze imibuzo engapheliyo ngawe😂 ##url	Normal	108
train_isixhosa_00786	@username not at all , utsotsi uyasfeli smoko sozi funyanwe	Normal	59
train_isixhosa_00866	uyaphapha kwedini, damn! ##url	Normal	30
train_isixhosa_01262	i'm glad you do 👍 now shaya isishwapa sakho uphume apha ##url	Hate	61
train_isixhosa_01493	@username uk'ngafundi kuy'ngxaki,zuma authourises use of chemicals against citizens but forgets to wear a musk.iqaba lisuzaligqumathele	Normal	135
train_isixhosa_01685	kutheni kwedini? 😩😅 ##url	Abuse	25
train_isixhosa_01043	kodwa mdidi 😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂 ##url	Abuse	34
train_isixhosa_00099	@username #igazi @username hayi jonga u#phumza  yhoo yi#bhozah yintomb'omxhosa nyani ibakhipha ngezembe ootsotsi ayinakubaleka kokwayo	Normal	134
train_isixhosa_01059	@username sihle ukhuluma inyongo mdidi wenja	Abuse	44
train_isixhosa_01282	sonti isibhanxa! #skeemsaam	Abuse	27
train_isixhosa_00894	inqatha lixuthwa emlonyeni.  kusemhlabeni apha.  ##url	Normal	54
train_isixhosa_00677	yes !! inkwenkwe yenziwa kanje 👍🏿👍🏿❤️❤️ ##url	Normal	45
train_isixhosa_01439	if your name is nzimeni, qaqambile, mziwamadoda etc. why are you adding sa. nzimeni sa. why? akho nzimeni eamerica kwedini.	Normal	123
train_isixhosa_01432	gqiba xa igeza ithi ‘nguwe owafuna mna nje’. ⚰️ ##url	Normal	53
train_isixhosa_00924	@username umthakathi waziwa ngabanye  abathakathi.	Abuse	50
train_isixhosa_02027	@username 😂😂😂😂 ndenziwa inxila endingelilo ke phofu	Abuse	51
train_isixhosa_00319	ixoxo liyazigxumela, literally ##url	Normal	36
train_isixhosa_00901	ngase naye bamenze inkazana  kulo jail, kunzima noyothenga umarhosha lho wakwambala okanye ke azame unkaringa xa elamba. ##url	Abuse	126
dev_isixhosa_00281	@username lula ke kum ufike ndithethe ngoba ndikhule ezilalini apho kungena kuphuma abantu eyadini ko wenu.ngenyimini kufika abantu bazoxoza umbona,kuyiwa emasimini, kuyasilwa,yimbizo, yintlanganiso enqileni,kuxhelwe ihagu,yimi ghidi etc.ndenzelela lula abantu abanga dalelelwanga uthetha.	Normal	289
dev_isixhosa_00201	ingade ibhentse ikrobe ngaphe kwe panty ##url	Normal	45
train_isixhosa_01631	@username 😢😢😢 zikhohlakele izigebenga. do they have no soul? 😭	Normal	62
train_isixhosa_00722	umtshele umuntu ukuthi they dialled the wrong number aqhubeke afone umsunu	Abuse	74
train_isixhosa_01204	@username 😂😂😂😂 hay andililo igeza qha man bakhona nje abanye abantu abafanelwe kukuthukwa 😂	Normal	91
train_isixhosa_00204	msasazi ndicela undidlalela unoqatiko, ndiyicelela uondela xhasa...	Normal	67
train_isixhosa_02623	"lol :'''d  rt""@username : ""ndithanda injakazi ezimdaka nantso ingxaki yam""#lyricsfromenglishtoxhosa"""	Hate	100
train_isixhosa_01596	iyokwenza ixoki ibhola😭😭 ##url	Normal	30
dev_isixhosa_00058	umama osizayo uyena umbulali. ungayilanda kanjani ingane enkulisa ekseni  @username 	Normal	84
test_isixhosa_00367	suzikhawlela inkawu ziyowsela	Normal	29
train_isixhosa_00424	ayinkulu incanca yakhe. ##url	Normal	29
train_isixhosa_01830	xikixa iqaba nge move erhabaxa. ##url	Normal	37
train_isixhosa_01680	😂😂😂😂azikabuyi zonke ekuqokelelweni ezasemasomalian 😂😂 kusafuneka inkwenkwe iyokhangela ##url	Normal	92
train_isixhosa_01101	ixoxo nexoxo umazigxumela....	Normal	29
dev_isixhosa_00465	aybo sisi! hlonipha incanca zethu. ##url	Normal	40
dev_isixhosa_00139	inkinga ngasuka ngaxolela ixoki ##url	Normal	37
train_isixhosa_01573	khe ndiqoqe konke okwam ndishaye isishwapa sam ndiphume ndiphele apha kulendawo. morè is nog 'n dag.	Hate	100
train_isixhosa_00856	@username 😂😂😂😂😂 she was so happy.. inoba she thought akawazi umnqundu 😂😂	Abuse	72
train_isixhosa_00182	i'm a hoe for garlic, ndithe ndizoyinqunqa ndaqond'ba futsek, ndaphosa igarlic cloves ezimbini ndacika imbiza.	Abuse	110
dev_isixhosa_00401	um'pretendo ogcwele lana 😂 uyanuka phuuuu	Normal	41
train_isixhosa_02475	@username tyhi!?!?!? ogqiba azoveza isidenge asitshatileyo apha... banjani na aba bantu?	Abuse	88
train_isixhosa_02616	@username thula ke wena sigogwana esiyelo esigcwele ikiwi msunu kanyoko hambo lala madakwani omumbi.	Abuse	100
test_isixhosa_00095	i'm knocking in few min. ngisayopheka izimbiza.. ngiyophumula mhla nonke naba nama pipi aqina efudumale kube ngathi kuzoncibilika condom, namhla nakwazi ukuchamisa abafazi nakubo kungabikho namunye onemomozi evele ikhamise ijuluke ivuze noma yophe nje esithubeni! 🍀💚😊 ##url	Normal	273
dev_isixhosa_00303	@username yeyi wena idiot nguyihlo msunu kanyoko	Abuse	48
train_isixhosa_00242	gholo yakho le izokomiwa kwedini. ##url	Abuse	39
train_isixhosa_01279	@username yaz ilona ngampela igundwane 🤔 ##url	Normal	46
train_isixhosa_00976	@username yhoo fefe kubuhlungu nyani andyazi why u thixo ethatha abantu abalungileyo ashiye izigebenga	Normal	102
test_isixhosa_00105	inkawu ityiw'ilali imfene isinda ngogoloza	Normal	42
train_isixhosa_01469	ndifuna ihagu bethunani. noba isaphila. ncedani... 😂😂 ##url	Normal	59
dev_isixhosa_00461	@username yhooo liyatyiwa ikhuni apho bawo😀  ndikhumbula ngo 99 sipha entla kwakwa ngoza kungena omnye umfo,yhoo saphuma kusasa sayofaka inkwenkwe ebuhlanti,sathi xa sikulamzi phambikwezindlu wabambana nenye yaku ngqwarhu into embi,zavulwa zophisana😂😂😂	Normal	252
train_isixhosa_02577	ndixakene nomphefumlo wam uyanuka. hee haybo yinto endizakuyithini le, kuba ndizakuthi xa ndithetha abantu bandityeshele.	Normal	121
train_isixhosa_02646	uyanuka phu !  ##url	Abuse	20
train_isixhosa_02030	we are all brothers, mna ndizalwa ngumamsukwini le isecaleni kwam ingumsukwini le yebhatyi epink ngugqwashu ilawu nayo, siyabulela wethu akhonto ##url	Normal	150
train_isixhosa_02187	bengishilo ngathi unkabinde umthakathi! #isibaya	Abuse	48
train_isixhosa_00937	@username ndiya dlala ke sithandwa sam. ingxaki ibisisirhama kwalakwekwe ubuzikhuphe nayo. yeka wena sizoyikhangela siyinyise, sakuyi thena amasende ikhale okwe nja yolwandle.	Abuse	175
dev_isixhosa_00489	@username last night i showed @username my whatsapp calls and azikho ezakho. wafounela umntu orongo masende akho.	Abuse	113
train_isixhosa_00489	so someone saw it fit to take his life last night,he was a father,a brother and a friend to others. rest easy zalo umbulali wakho ngeke asakwazi ukuphumula kusukela namhlanje . sesobonana kwelizayo.💔💔💔😭😭😭 #rip ##url	Normal	215
train_isixhosa_01713	@username awulilo ke ?🥱  not igeza kodwa elinye igama eliya libhalwe edruphini?	Normal	79
train_isixhosa_01451	@username not nomhlehlo ?inqatha?😂😂😂😂	Normal	37
train_isixhosa_01543	ubone xa uleli ungahlambanga, veske uphuphe ikaka akhomntu ofuna uhlala nawe because uyanuka uqonde ba yikaka le uvuke ngo 2 uyovasa..	Abuse	134
train_isixhosa_00392	isilwanyana yiyo nayiphi na indalo ephefumlayo ezitho zine okanye erhubuluzayo ehlala endle.  inyamakazi siso nasiphi na isilwanyana sasendle esithi sakukubanjiselwa sityiwe ngumzingeli.  imfuyo yiyo nayiphi na impahla ephila emakhaya nabantu, ebuhlanti okanye ehokweni.   ✅✅✅ ##url	Normal	282
test_isixhosa_00409	inoba ucinga incanca yam isebenza ngombane ##url	Normal	48
train_isixhosa_01475	@username you see and ngapha uyanuka	Abuse	36
dev_isixhosa_00011	imenemene eliwumartha 🐍 #thequeenmzansi	Normal	39
dev_isixhosa_00492	andisa sabi ukrazuka umsunu😭😭😭😭 ##url	Normal	37
train_isixhosa_00802	nice thing ukuba isidudla you never have inkinga yosize in stores	Normal	65
test_isixhosa_00086	ayilibaleki lula into yokwenziwa isibhanxa.	Normal	43
test_isixhosa_00401	@username inkwenkwe efuna uba indoda auyi funi yona?	Normal	52
dev_isixhosa_00416	isifebe unyoko! phuma kosisi bethu! #ladieswithbooty ##url	Abuse	58
train_isixhosa_00969	@username apha esoweto ezo zimuncu zetransport yabantwana besikolo ziqhuba oku konooteksi. baqhuba ikaka abantu belayishe iinkokheli zangomso.	Abuse	142
dev_isixhosa_00236	@username oosakza bakulankonzo yamonela uhili ngesiyezi ishori alok	Normal	67
train_isixhosa_00542	namhlanje ngidlule insizwa igeza emfuleni oseduze ne bridge ley'moto. 💀	Normal	71
dev_isixhosa_00426	@username le ndoda mayibekwe ityala klk ebeyolanda unyana wakhe so ulindele unyana wakhe ayikho le ayithethayo ba ebecinga ootsotsi, kona umpu lo ubuhleli usesandle for what? hay lo mfo makadidinjelwe kwesimnyama isisele @username 	Normal	231
train_isixhosa_01552	@username ungathi uma unya wena bese unyela nathi mdidi wakho ##url	Abuse	67
train_isixhosa_02316	@username okumnandi ubulungiswa benzekile umbulali uzobuyela ejele	Normal	66
train_isixhosa_00225	@username ndikwazi ingowase bhayi mna kwedini ndadibana nawe ebhayi unxiba icarvela eruben crescent	Abuse	99
dev_isixhosa_00198	xa uphuma kokwenu une pipi 🍆 encinci uthi uyaphi? ndiyabuza qha	Normal	63
train_isixhosa_02095	sebekwenzeni ke manje phakathi kwamabil, yazi ngzoshaya inja ngawe ##url	Normal	72
train_isixhosa_02136	umsunu wakho nawe wethu geza elingu #euphonik tyhini sanyeleka ngku	Abuse	67
dev_isixhosa_00252	@username bhuti wena wakhe wasbona isifombo sinxilile hay asididizeli qha kuchachamba lahunch 😂😂😂	Hate	97
train_isixhosa_01519	ootsotsi love to constantly mess with abahlali basekhayelitsha......	Normal	68
train_isixhosa_01779	@username tsek golo lakho wena ne pipi encane msunu, emyama futhi	Abuse	65
dev_isixhosa_00176	@username makashiswe😂😂 impimpi yenzwa njalo	Normal	43
train_isixhosa_02485	"ohhh! utsho lonto kanti?! hayi bancinci abasekhaya &amp; futhi ndingabulala ixelegu cakwakhe ""@username : @username utyelwa njani umjita xa"	Normal	139
train_isixhosa_01784	ndilibele unibalisa. my friend was telling me wayehambha neboyfriend yakhe this one time kwathi gqi ootsotsi abathathu as they approach her boyf told her to walk behing him. uthi wavele wagoba umfana and turned into a monkey babaleka ootsotsi uthi naye wabaleka ntanga 😂😭😂😭	Normal	273
train_isixhosa_01816	"@username uyawazi u ""futsek futsek futsek "" wa bonang??? ubuzolandelwa esikhulu isibhaxu lesi 😅"	Abuse	95
train_isixhosa_02234	"ndiphuphe ndibetha igqwirha lophuka umlenze , xandivuka umakhulu uyaqhwalela xa ndimbuza ba utheni waske wahleka wathi ""kusezonyiwa kulendlu"" 😭😭💔"	Normal	145
test_isixhosa_00122	sizothi futsek ngoku sasicula kangqka🤣🤣 ##url	Abuse	45
test_isixhosa_00345	ndiyalikhumbula igeza lam.	Abuse	26
test_isixhosa_00115	what you wrote here is absolute nonsense but qhubeka ngoba ubhorekile msunu kanyoko ##url ##url	Abuse	95
train_isixhosa_00347	of course indoda izojika uthetha umnqundu ##url	Abuse	47
train_isixhosa_01702	@username isibhanxa esomeleleyo!! 🤣🤣🤣	Abuse	37
train_isixhosa_01632	@username musukunya wena msunu kanyoko	Abuse	38
train_isixhosa_00622	@username usho ukuthi uyanuka?	Normal	30
test_isixhosa_00410	unyanyii! kwedini 😡😡😡	Abuse	21
train_isixhosa_01123	akandinyele nha guys lona uzolo undiphendule wathi okay xandisthi mtana yagula ngoku yandibuza unjani mtana ithni nto yandiqekla shame ikaka	Abuse	140
train_isixhosa_01842	ndlebezikhany'ilanga awazi ngithini uxole mdidi'wenja. ##url	Abuse	60
test_isixhosa_00083	bese adlile umbulali ##url	Normal	26
dev_isixhosa_00251	zikhona nje ezinye iziphukuphuku ezikhamisa zityhale apha. isibhanxa sisibhanxa qha asinambala.	Abuse	95
test_isixhosa_00577	"the way he hinted shame upiririnqi, athi ngomoya ophantsi ""yho babe everyone is out tonight😞""  ugcinezele ihagu apho uhleli khona perhaps?"	Normal	138
train_isixhosa_00737	“thengisa incanca yakho kula mlungu” 😂😂😭😭  yhuuu akhona haibo	Normal	61
train_isixhosa_00509	@username ngasekhaya imfene yafika yagibela inja😭😭😭😭 yayenza ibitch yayo ke😭😭😭	Abuse	78
train_isixhosa_01372	yebo sisi... uthandana njani nentselaboya, into yaphelelwa sisazela igintsa? okay ubungayazi uba ligints kodwa waqhubeka wathandana naye. njani?	Normal	144
train_isixhosa_00390	ayikrwada nantsi inkazana 🥴 ##url	Abuse	33
train_isixhosa_02505	ndivuswe yigxolo yabantu apha ekhaya kanti kuxhelwa ihagu.	Normal	58
dev_isixhosa_00253	rabishi lento...izinqa ezintshwame kanje ##url	Abuse	46
train_isixhosa_01728	injubaqa ingafa 😂😂 ##url	Abuse	24
train_isixhosa_01507	maskhakhane ulipoyisa or impimpi 🤷🏿‍♂️ #ehostela	Normal	48
train_isixhosa_00979	isidenge siphuma ngocallback.. ##url	Abuse	36
